planet_radius,Period(Days)
3.369999999999999,596
1.8699999999999997,316
1.3699999999999999,48
2.1699999999999995,105
1.8699999999999997,319
3.869999999999999,284
1.7699999999999996,153
4.27,232
0.97,566
0.77,341
1.5699999999999998,50
2.2699999999999996,29
0.67,333
1.4699999999999998,256
2.1699999999999995,25
1.0699999999999998,531
2.9699999999999993,27
0.67,313
2.6699999999999995,39
1.67,173
1.7699999999999996,241
1.17,65
1.67,21
1.8699999999999997,111
1.4699999999999998,329
1.5699999999999998,41
5.969999999999999,329
3.1699999999999995,198
2.4699999999999998,247
2.3699999999999997,517
1.3699999999999999,510
8.37,244
1.4699999999999998,119
2.07,59
1.4699999999999998,117
1.4699999999999998,71
0.77,607
1.27,108
4.869999999999999,230
1.7699999999999996,25
1.9699999999999998,128
1.7699999999999996,107
2.869999999999999,198
1.17,157
0.67,248
1.3699999999999999,157
1.67,524
0.77,434
0.77,520
8.569999999999999,71
3.4699999999999993,194
7.769999999999999,437
2.9699999999999993,122
2.869999999999999,558
1.0699999999999998,330
2.1699999999999995,330
2.07,45
0.87,12
1.17,26
2.2699999999999996,24
2.07,101
0.77,128
0.67,172
1.0699999999999998,419
1.0699999999999998,215
2.2699999999999996,29
0.87,330
1.0699999999999998,66
0.87,26
3.669999999999999,443
8.969999999999999,82
1.4699999999999998,40
2.1699999999999995,484
2.1699999999999995,454
1.5699999999999998,11
1.17,610
1.17,638
2.2699999999999996,50
2.4699999999999998,181
1.7699999999999996,230
1.0699999999999998,190
2.07,601
0.97,226
1.3699999999999999,235
6.769999999999999,596
0.97,108
2.2699999999999996,189
1.67,15
0.97,76
0.97,79
0.97,29
1.3699999999999999,65
2.5699999999999994,429
1.0699999999999998,461
1.7699999999999996,571
3.9699999999999993,573
1.17,311
1.27,86
0.87,31
2.1699999999999995,146
0.67,608
2.5699999999999994,211
2.6699999999999995,625
0.87,21
1.5699999999999998,173
0.77,433
2.1699999999999995,248
16.669999999999998,309
2.4699999999999998,584
0.97,603
2.2699999999999996,206
0.77,11
1.5699999999999998,553
4.869999999999999,222
0.67,39
0.77,494
0.77,232
1.7699999999999996,453
7.0699999999999985,356
1.5699999999999998,464
1.0699999999999998,334
3.2699999999999996,385
3.369999999999999,408
1.9699999999999998,39
2.2699999999999996,34
0.97,76
4.169999999999999,558
0.87,97
5.5699999999999985,403
2.1699999999999995,176
0.67,310
0.67,519
1.4699999999999998,283
3.2699999999999996,548
1.17,170
3.869999999999999,31
3.769999999999999,535
1.7699999999999996,244
1.3699999999999999,258
2.9699999999999993,24
0.87,66
3.369999999999999,585
1.17,438
1.3699999999999999,626
2.1699999999999995,27
0.77,177
1.67,229
0.67,48
0.87,195
2.9699999999999993,11
0.77,155
15.769999999999996,141
1.5699999999999998,415
1.7699999999999996,540
1.27,16
2.2699999999999996,498
0.67,156
1.8699999999999997,576
4.769999999999999,126
6.469999999999999,48
4.169999999999999,612
3.5699999999999994,263
1.9699999999999998,326
1.5699999999999998,154
1.17,27
1.4699999999999998,162
0.67,262
1.5699999999999998,601
3.0699999999999994,26
1.17,305
4.669999999999999,218
11.869999999999997,35
3.2699999999999996,22
1.4699999999999998,58
1.17,100
0.67,76
0.77,342
0.77,137
5.369999999999999,152
1.4699999999999998,104
2.869999999999999,45
1.0699999999999998,391
0.77,189
0.67,11
2.4699999999999998,188
0.77,188
1.9699999999999998,151
3.5699999999999994,460
6.469999999999999,197
1.27,53
2.3699999999999997,18
10.469999999999997,134
2.2699999999999996,553
0.87,53
2.6699999999999995,546
4.969999999999999,56
2.3699999999999997,364
0.67,86
3.2699999999999996,209
0.97,58
1.7699999999999996,112
0.97,579
16.369999999999997,533
5.969999999999999,575
0.67,469
2.07,500
2.07,60
9.569999999999999,304
15.469999999999997,245
1.4699999999999998,528
1.3699999999999999,539
1.3699999999999999,276
1.5699999999999998,312
0.67,314
0.67,394
1.27,43
1.4699999999999998,553
6.5699999999999985,140
3.369999999999999,156
1.4699999999999998,42
0.67,12
3.669999999999999,465
1.3699999999999999,235
2.5699999999999994,57
3.4699999999999993,318
1.4699999999999998,192
1.3699999999999999,328
3.369999999999999,496
0.97,148
0.77,14
1.17,400
1.4699999999999998,500
2.7699999999999996,344
1.5699999999999998,67
1.0699999999999998,451
1.9699999999999998,333
1.67,472
1.0699999999999998,10
1.17,195
1.67,77
1.17,115
1.4699999999999998,123
1.67,68
1.3699999999999999,38
1.7699999999999996,24
1.9699999999999998,40
6.0699999999999985,12
14.969999999999997,194
1.3699999999999999,430
1.0699999999999998,376
0.77,175
3.2699999999999996,39
0.77,285
3.669999999999999,466
0.87,632
3.369999999999999,148
1.0699999999999998,104
5.769999999999999,156
1.4699999999999998,30
4.369999999999999,363
3.2699999999999996,41
0.97,129
1.17,148
2.07,139
3.0699999999999994,94
0.97,69
1.7699999999999996,46
2.3699999999999997,128
0.87,377
2.2699999999999996,45
1.67,61
1.4699999999999998,59
1.9699999999999998,559
0.67,99
2.2699999999999996,570
0.87,391
0.77,13
0.87,506
2.6699999999999995,135
2.07,22
1.27,27
2.5699999999999994,234
1.0699999999999998,165
6.469999999999999,85
1.0699999999999998,320
0.97,24
1.8699999999999997,20
8.469999999999999,130
1.7699999999999996,41
3.4699999999999993,626
10.069999999999999,540
1.7699999999999996,254
6.169999999999999,442
1.3699999999999999,99
2.2699999999999996,301
1.67,33
4.769999999999999,593
1.17,32
0.67,28
1.9699999999999998,19
2.5699999999999994,262
1.67,14
1.27,258
6.969999999999999,551
1.5699999999999998,11
9.369999999999997,32
0.67,19
1.4699999999999998,209
4.27,624
1.4699999999999998,563
1.8699999999999997,333
2.869999999999999,42
0.97,28
1.17,11
0.87,205
4.569999999999999,538
10.869999999999997,392
0.97,31
1.4699999999999998,266
1.7699999999999996,429
0.77,91
2.869999999999999,27
1.27,23
3.4699999999999993,388
4.469999999999999,21
0.87,574
0.97,202
13.069999999999997,218
3.4699999999999993,16
1.5699999999999998,34
0.77,68
0.77,139
0.77,394
3.1699999999999995,153
1.7699999999999996,96
1.27,525
1.7699999999999996,10
2.07,15
2.2699999999999996,198
1.0699999999999998,374
0.67,337
0.87,142
1.8699999999999997,61
1.4699999999999998,12
1.7699999999999996,52
3.9699999999999993,251
1.0699999999999998,328
1.0699999999999998,18
2.2699999999999996,22
3.4699999999999993,146
1.9699999999999998,553
5.269999999999999,11
0.77,10
2.7699999999999996,58
1.0699999999999998,45
0.67,234
0.67,67
1.27,509
2.1699999999999995,21
2.7699999999999996,183
0.77,308
1.17,61
2.4699999999999998,54
6.0699999999999985,578
1.17,90
1.4699999999999998,59
4.369999999999999,139
3.369999999999999,264
3.9699999999999993,15
1.4699999999999998,229
1.9699999999999998,219
0.67,45
4.369999999999999,420
0.77,34
0.67,26
0.87,560
1.7699999999999996,121
3.1699999999999995,576
1.17,374
2.3699999999999997,496
1.7699999999999996,127
2.07,305
1.17,403
1.4699999999999998,466
2.4699999999999998,348
1.17,561
2.869999999999999,364
1.7699999999999996,26
1.3699999999999999,427
0.97,173
0.87,550
1.67,210
1.3699999999999999,43
0.87,92
0.77,364
2.9699999999999993,242
0.67,394
0.97,44
1.3699999999999999,474
0.87,25
2.2699999999999996,94
0.67,19
2.7699999999999996,359
1.9699999999999998,27
1.0699999999999998,13
3.769999999999999,467
0.77,547
1.17,43
1.17,330
1.7699999999999996,114
0.77,16
1.8699999999999997,19
1.0699999999999998,577
5.269999999999999,558
1.17,63
1.9699999999999998,65
0.87,343
1.27,246
0.87,132
2.869999999999999,463
1.17,92
0.67,36
0.67,32
3.4699999999999993,335
4.369999999999999,565
0.67,45
2.869999999999999,71
1.3699999999999999,47
0.87,229
1.17,383
2.7699999999999996,486
1.3699999999999999,42
3.1699999999999995,550
0.97,72
5.869999999999999,414
1.8699999999999997,16
1.17,512
11.169999999999998,612
3.369999999999999,94
1.3699999999999999,80
1.27,35
0.67,68
1.17,427
1.27,302
0.97,81
12.169999999999998,235
0.87,52
0.87,122
1.3699999999999999,624
2.869999999999999,486
2.869999999999999,39
3.4699999999999993,307
1.4699999999999998,344
0.97,58
2.07,354
0.87,180
1.9699999999999998,398
1.67,27
2.869999999999999,109
10.969999999999997,125
2.5699999999999994,91
3.669999999999999,139
2.4699999999999998,547
1.8699999999999997,90
3.1699999999999995,318
0.67,238
2.3699999999999997,118
1.9699999999999998,618
12.369999999999997,235
2.869999999999999,44
4.27,171
2.07,212
6.469999999999999,220
1.3699999999999999,517
15.869999999999996,411
1.5699999999999998,80
0.77,609
1.9699999999999998,11
1.4699999999999998,79
1.0699999999999998,471
1.17,74
1.9699999999999998,274
1.17,22
3.0699999999999994,299
0.97,630
1.5699999999999998,15
1.8699999999999997,84
3.1699999999999995,52
0.77,19
0.97,371
5.769999999999999,527
1.17,177
0.67,10
0.87,255
2.9699999999999993,354
8.869999999999997,188
1.67,638
2.3699999999999997,37
1.7699999999999996,43
1.0699999999999998,445
2.5699999999999994,97
6.669999999999998,367
0.67,24
0.67,35
1.4699999999999998,477
1.7699999999999996,36
0.87,23
1.17,15
3.669999999999999,203
2.5699999999999994,452
0.97,115
0.67,40
3.869999999999999,529
1.0699999999999998,105
5.169999999999999,13
0.67,597
0.67,57
0.67,17
1.8699999999999997,192
1.3699999999999999,609
1.5699999999999998,189
1.5699999999999998,181
0.67,19
1.7699999999999996,77
3.1699999999999995,618
1.3699999999999999,380
2.2699999999999996,186
1.4699999999999998,581
1.67,32
1.27,72
2.7699999999999996,327
1.0699999999999998,15
1.67,462
2.6699999999999995,26
1.17,39
2.2699999999999996,173
1.9699999999999998,377
1.27,48
2.6699999999999995,214
2.2699999999999996,37
1.5699999999999998,76
2.2699999999999996,585
2.869999999999999,20
0.67,159
2.869999999999999,417
0.77,482
2.7699999999999996,415
4.369999999999999,474
0.77,53
2.07,16
1.67,625
2.9699999999999993,281
2.1699999999999995,203
2.1699999999999995,15
1.8699999999999997,20
13.569999999999997,91
1.27,143
0.67,13
10.169999999999998,48
2.6699999999999995,520
1.0699999999999998,51
1.67,383
0.77,64
2.5699999999999994,619
2.4699999999999998,576
1.4699999999999998,22
4.669999999999999,39
1.4699999999999998,60
1.67,15
2.4699999999999998,131
2.07,26
1.0699999999999998,462
1.9699999999999998,638
0.97,181
1.3699999999999999,99
3.0699999999999994,350
1.67,15
1.3699999999999999,111
1.3699999999999999,50
1.9699999999999998,57
1.0699999999999998,538
1.0699999999999998,208
16.669999999999998,522
0.87,44
4.27,79
2.1699999999999995,377
2.07,310
0.67,490
1.17,56
1.0699999999999998,100
0.87,271
1.7699999999999996,628
3.369999999999999,19
1.27,142
1.7699999999999996,113
8.969999999999999,22
6.669999999999998,158
0.67,326
3.0699999999999994,250
1.0699999999999998,70
1.8699999999999997,72
9.769999999999998,440
1.67,43
0.87,25
2.3699999999999997,411
0.77,170
4.069999999999999,39
1.0699999999999998,32
0.87,503
2.7699999999999996,91
14.269999999999998,200
9.369999999999997,451
1.5699999999999998,56
2.3699999999999997,79
0.77,13
1.17,81
2.3699999999999997,184
9.969999999999997,596
1.0699999999999998,56
0.77,552
1.17,473
1.67,175
3.369999999999999,583
0.97,32
2.07,207
2.1699999999999995,103
0.77,353
0.67,18
0.77,439
0.77,93
10.569999999999999,49
0.77,14
1.27,170
1.7699999999999996,204
3.1699999999999995,235
1.3699999999999999,335
2.07,21
1.17,567
1.17,588
1.9699999999999998,34
0.87,72
2.9699999999999993,45
2.4699999999999998,89
0.97,312
1.4699999999999998,570
0.67,438
1.0699999999999998,146
4.369999999999999,268
0.87,115
1.5699999999999998,131
1.3699999999999999,98
2.2699999999999996,623
2.869999999999999,170
0.97,460
0.77,16
0.87,133
0.77,135
1.8699999999999997,19
2.6699999999999995,27
1.8699999999999997,39
2.1699999999999995,268
1.17,146
0.87,90
3.0699999999999994,620
4.27,124
0.97,35
1.3699999999999999,13
0.97,96
1.3699999999999999,116
0.77,197
1.17,203
1.3699999999999999,16
1.8699999999999997,94
1.0699999999999998,248
1.4699999999999998,170
2.07,238
1.4699999999999998,135
0.87,18
3.0699999999999994,30
1.9699999999999998,152
1.3699999999999999,151
8.469999999999999,130
0.97,117
1.0699999999999998,187
0.67,409
2.6699999999999995,593
3.369999999999999,25
2.2699999999999996,72
3.2699999999999996,61
0.67,282
0.67,104
2.07,161
0.97,16
1.27,46
0.87,491
4.669999999999999,66
2.1699999999999995,180
1.7699999999999996,147
0.67,533
11.669999999999998,447
3.4699999999999993,573
1.4699999999999998,110
1.0699999999999998,308
0.77,611
5.0699999999999985,44
1.17,256
1.4699999999999998,41
2.2699999999999996,28
0.67,613
0.77,221
0.77,436
0.77,183
3.4699999999999993,98
6.669999999999998,29
4.669999999999999,194
2.5699999999999994,90
2.6699999999999995,369
0.67,130
2.07,80
2.2699999999999996,17
2.3699999999999997,251
1.67,15
1.8699999999999997,137
3.2699999999999996,433
1.9699999999999998,58
0.77,132
1.27,95
1.17,559
2.4699999999999998,329
0.97,27
2.3699999999999997,319
1.5699999999999998,340
0.67,47
1.17,447
1.9699999999999998,332
1.27,630
2.07,135
0.87,360
6.169999999999999,460
0.77,25
4.569999999999999,503
1.5699999999999998,32
1.17,23
3.0699999999999994,17
1.4699999999999998,129
1.9699999999999998,100
0.67,92
2.7699999999999996,196
1.17,549
1.7699999999999996,335
2.4699999999999998,558
1.0699999999999998,141
0.77,28
2.07,41
0.77,193
1.67,52
2.6699999999999995,42
0.67,376
1.67,298
1.8699999999999997,16
0.77,578
0.67,618
1.8699999999999997,21
3.5699999999999994,302
3.2699999999999996,267
6.5699999999999985,212
3.369999999999999,175
1.9699999999999998,68
1.8699999999999997,202
1.3699999999999999,314
3.1699999999999995,160
1.9699999999999998,63
0.97,251
5.769999999999999,95
2.3699999999999997,638
0.67,127
0.87,423
5.169999999999999,295
1.67,252
1.3699999999999999,54
3.1699999999999995,113
1.17,28
0.67,242
2.4699999999999998,536
0.87,67
0.97,211
0.67,451
0.77,28
0.67,418
0.67,16
1.17,72
2.9699999999999993,31
1.67,132
1.67,128
2.6699999999999995,23
1.8699999999999997,102
0.77,293
0.67,103
1.7699999999999996,29
0.87,539
1.17,315
1.7699999999999996,79
0.97,382
2.1699999999999995,295
1.5699999999999998,293
0.67,434
3.869999999999999,65
2.07,264
1.8699999999999997,262
7.0699999999999985,235
3.9699999999999993,11
1.5699999999999998,381
0.77,104
0.97,74
0.97,600
0.87,81
1.3699999999999999,173
1.4699999999999998,24
0.97,508
5.469999999999999,12
0.97,107
1.7699999999999996,309
2.3699999999999997,16
0.87,119
5.469999999999999,259
3.1699999999999995,32
1.17,255
1.17,555
0.67,396
1.9699999999999998,69
8.969999999999999,387
1.0699999999999998,39
2.7699999999999996,37
5.169999999999999,635
0.77,155
2.1699999999999995,59
0.77,163
0.77,139
2.4699999999999998,134
1.8699999999999997,585
3.0699999999999994,302
2.1699999999999995,11
1.17,29
0.87,418
1.4699999999999998,160
0.97,14
1.27,19
0.67,61
0.67,22
0.87,82
14.369999999999997,118
0.67,27
11.769999999999998,362
1.67,95
0.97,327
0.67,18
3.2699999999999996,87
0.67,372
2.3699999999999997,478
0.97,13
0.97,42
0.87,27
2.869999999999999,230
0.87,24
3.669999999999999,153
3.669999999999999,401
2.07,13
0.87,36
3.4699999999999993,60
3.1699999999999995,603
1.0699999999999998,223
0.87,260
2.869999999999999,73
0.97,604
1.17,21
6.469999999999999,447
1.17,638
2.2699999999999996,299
2.3699999999999997,20
1.9699999999999998,214
0.77,13
1.17,266
3.0699999999999994,14
1.5699999999999998,619
1.17,207
0.67,153
0.77,250
4.669999999999999,152
1.3699999999999999,69
1.0699999999999998,142
0.77,251
2.3699999999999997,245
1.0699999999999998,20
3.1699999999999995,551
0.77,201
0.77,39
1.3699999999999999,33
0.77,183
1.3699999999999999,619
2.3699999999999997,11
1.3699999999999999,86
10.869999999999997,43
2.869999999999999,38
0.77,362
8.569999999999999,212
2.4699999999999998,174
1.3699999999999999,17
1.0699999999999998,23
7.469999999999999,122
0.97,340
0.67,321
0.97,537
2.6699999999999995,242
1.17,398
0.87,104
1.8699999999999997,500
1.5699999999999998,170
2.1699999999999995,389
3.769999999999999,42
1.8699999999999997,10
1.27,61
1.8699999999999997,22
1.27,125
1.67,140
1.27,12
1.7699999999999996,425
4.369999999999999,318
1.3699999999999999,30
13.969999999999997,23
0.97,22
0.87,197
3.0699999999999994,31
1.0699999999999998,364
2.9699999999999993,90
0.87,319
0.77,119
0.77,172
0.77,45
2.07,227
1.3699999999999999,30
1.8699999999999997,30
1.17,617
2.7699999999999996,463
2.5699999999999994,37
3.2699999999999996,135
2.3699999999999997,431
2.6699999999999995,317
11.169999999999998,628
2.2699999999999996,142
1.0699999999999998,40
1.3699999999999999,11
1.67,262
4.869999999999999,491
1.4699999999999998,150
1.27,516
0.67,583
2.869999999999999,491
0.67,27
0.77,36
2.2699999999999996,122
1.17,459
3.669999999999999,617
0.67,125
2.4699999999999998,68
0.87,99
1.27,42
0.67,168
9.569999999999999,222
0.97,368
1.7699999999999996,461
2.869999999999999,26
0.97,568
1.3699999999999999,21
0.97,24
0.77,16
2.6699999999999995,12
3.2699999999999996,108
0.67,19
5.669999999999999,15
1.27,170
2.7699999999999996,51
3.0699999999999994,96
10.069999999999999,147
1.67,268
0.67,54
0.67,74
1.67,24
3.869999999999999,292
2.1699999999999995,305
2.5699999999999994,432
0.87,11
1.8699999999999997,304
0.87,167
2.07,369
0.67,112
0.87,259
3.1699999999999995,32
3.4699999999999993,161
1.7699999999999996,14
2.7699999999999996,300
3.1699999999999995,138
1.27,53
2.07,39
1.7699999999999996,318
2.7699999999999996,479
1.27,44
2.3699999999999997,82
1.3699999999999999,10
0.97,63
0.67,10
1.4699999999999998,54
3.669999999999999,568
1.0699999999999998,13
0.87,227
2.1699999999999995,67
2.6699999999999995,469
0.97,69
1.0699999999999998,85
0.67,383
1.9699999999999998,82
1.5699999999999998,71
1.0699999999999998,636
3.5699999999999994,476
2.1699999999999995,250
1.0699999999999998,500
1.8699999999999997,12
1.17,69
2.07,17
1.9699999999999998,338
0.87,154
3.369999999999999,553
1.27,638
2.9699999999999993,231
0.77,151
3.0699999999999994,301
2.7699999999999996,104
2.4699999999999998,157
2.3699999999999997,491
0.67,16
0.87,24
0.87,96
2.869999999999999,138
1.9699999999999998,111
2.1699999999999995,70
2.2699999999999996,378
6.469999999999999,218
4.069999999999999,245
5.0699999999999985,274
1.5699999999999998,181
1.67,17
3.2699999999999996,69
1.8699999999999997,16
0.77,27
1.9699999999999998,17
1.27,604
3.4699999999999993,95
6.669999999999998,230
0.97,545
0.67,27
0.87,463
1.4699999999999998,10
1.3699999999999999,430
2.3699999999999997,547
3.0699999999999994,117
4.369999999999999,31
1.8699999999999997,11
1.7699999999999996,139
6.869999999999998,557
1.5699999999999998,468
2.3699999999999997,412
0.77,310
0.67,178
1.67,36
1.5699999999999998,27
1.17,239
0.67,26
1.67,146
0.67,361
1.27,115
0.87,27
0.67,447
2.5699999999999994,616
5.269999999999999,571
2.7699999999999996,10
1.0699999999999998,41
1.67,47
9.269999999999998,35
2.07,105
3.669999999999999,10
1.3699999999999999,27
5.469999999999999,101
1.67,55
0.97,41
2.6699999999999995,63
1.8699999999999997,36
2.3699999999999997,384
1.0699999999999998,54
1.8699999999999997,373
0.87,56
1.27,126
1.67,27
0.77,204
0.77,17
0.77,35
3.2699999999999996,34
0.77,218
2.9699999999999993,125
1.8699999999999997,214
2.9699999999999993,100
0.67,185
1.5699999999999998,160
9.469999999999997,545
1.7699999999999996,55
1.27,315
1.9699999999999998,285
0.77,90
2.5699999999999994,374
1.3699999999999999,469
2.3699999999999997,459
2.5699999999999994,278
0.67,98
1.7699999999999996,366
0.77,516
0.97,71
1.27,46
0.97,19
0.87,308
3.0699999999999994,603
4.469999999999999,525
1.67,12
2.869999999999999,280
0.77,345
3.0699999999999994,266
3.869999999999999,419
1.3699999999999999,68
3.4699999999999993,233
1.8699999999999997,631
2.4699999999999998,303
0.97,60
1.3699999999999999,230
2.869999999999999,119
1.17,22
0.77,360
2.1699999999999995,106
0.97,17
0.87,442
2.1699999999999995,34
0.67,544
1.8699999999999997,193
0.97,102
0.97,218
8.769999999999998,91
0.87,386
4.869999999999999,263
2.3699999999999997,37
0.67,35
2.1699999999999995,180
0.77,464
1.17,62
1.7699999999999996,369
1.17,284
7.0699999999999985,144
0.77,41
2.4699999999999998,211
2.07,92
2.6699999999999995,456
0.77,140
2.869999999999999,433
0.77,281
2.07,227
2.869999999999999,415
0.87,47
6.769999999999999,396
0.87,65
1.17,133
0.77,321
1.0699999999999998,45
1.17,44
0.67,553
1.67,52
14.769999999999996,570
3.869999999999999,481
1.3699999999999999,40
0.97,306
2.869999999999999,308
3.0699999999999994,94
1.67,159
0.67,270
1.4699999999999998,485
2.9699999999999993,80
2.6699999999999995,606
2.9699999999999993,70
0.87,555
1.27,125
2.2699999999999996,108
3.369999999999999,147
1.0699999999999998,461
0.67,22
0.67,72
1.3699999999999999,352
1.27,413
1.27,76
2.4699999999999998,145
2.5699999999999994,188
0.77,372
0.97,53
4.27,575
0.67,358
1.27,324
2.3699999999999997,362
0.77,585
3.669999999999999,198
0.67,472
0.97,492
0.97,132
2.4699999999999998,44
2.07,122
0.97,298
1.7699999999999996,305
10.369999999999997,179
0.97,580
2.3699999999999997,542
2.869999999999999,521
4.169999999999999,558
0.87,18
1.27,582
0.67,10
0.77,138
0.77,195
2.4699999999999998,112
3.4699999999999993,432
1.17,12
1.17,196
0.87,310
1.17,137
2.07,84
7.269999999999999,456
1.4699999999999998,169
1.7699999999999996,376
2.9699999999999993,101
0.97,16
1.27,16
0.77,20
1.7699999999999996,15
0.67,336
3.2699999999999996,511
0.87,136
2.6699999999999995,46
1.0699999999999998,132
1.4699999999999998,57
8.069999999999999,486
0.67,557
0.67,83
1.3699999999999999,35
1.5699999999999998,10
2.4699999999999998,476
5.0699999999999985,40
0.67,61
0.77,11
10.169999999999998,74
0.87,60
0.77,402
1.0699999999999998,23
2.2699999999999996,27
0.97,451
1.7699999999999996,554
0.67,19
1.4699999999999998,242
0.77,28
1.3699999999999999,526
2.869999999999999,13
0.87,71
6.369999999999998,459
2.2699999999999996,509
1.9699999999999998,13
0.87,496
1.27,502
0.77,83
0.97,11
2.9699999999999993,80
0.97,598
2.2699999999999996,477
3.5699999999999994,500
0.77,126
0.77,437
1.0699999999999998,51
2.2699999999999996,206
1.5699999999999998,414
0.77,288
13.469999999999997,376
1.7699999999999996,336
5.169999999999999,557
4.469999999999999,124
3.4699999999999993,475
0.97,345
0.97,29
0.67,15
1.0699999999999998,536
1.27,22
4.27,54
2.4699999999999998,18
0.77,421
0.77,357
2.3699999999999997,25
1.17,635
6.169999999999999,282
1.17,132
7.669999999999998,97
1.8699999999999997,42
3.1699999999999995,16
1.3699999999999999,492
4.369999999999999,41
1.3699999999999999,186
1.7699999999999996,108
3.769999999999999,543
1.8699999999999997,233
3.4699999999999993,435
1.0699999999999998,17
0.77,26
3.2699999999999996,535
0.87,322
2.869999999999999,29
2.4699999999999998,73
1.27,147
1.17,98
1.0699999999999998,519
4.169999999999999,220
0.77,71
3.1699999999999995,163
0.97,171
5.5699999999999985,37
0.97,382
0.77,23
2.869999999999999,117
2.07,27
2.3699999999999997,417
1.27,112
1.0699999999999998,22
0.67,140
1.7699999999999996,108
1.0699999999999998,202
1.4699999999999998,335
1.27,27
10.169999999999998,109
7.169999999999998,90
0.67,360
1.4699999999999998,11
1.17,439
0.97,29
1.7699999999999996,41
3.1699999999999995,70
0.67,70
2.5699999999999994,376
0.97,21
2.07,481
1.7699999999999996,41
3.4699999999999993,477
4.469999999999999,127
1.0699999999999998,67
0.97,137
2.9699999999999993,612
1.27,109
2.1699999999999995,93
4.969999999999999,481
0.97,27
0.77,100
2.4699999999999998,446
3.1699999999999995,156
0.97,37
2.6699999999999995,86
10.369999999999997,537
4.069999999999999,40
0.67,93
0.67,141
0.87,107
0.87,435
1.9699999999999998,180
1.0699999999999998,241
1.8699999999999997,402
0.87,54
0.77,102
2.07,548
2.1699999999999995,33
1.27,170
3.2699999999999996,87
1.27,73
3.1699999999999995,438
3.0699999999999994,117
2.869999999999999,29
2.3699999999999997,227
2.2699999999999996,516
1.0699999999999998,210
1.7699999999999996,13
1.3699999999999999,49
11.869999999999997,293
0.67,11
1.8699999999999997,542
1.5699999999999998,275
1.4699999999999998,96
2.1699999999999995,16
8.269999999999998,385
1.0699999999999998,42
2.3699999999999997,35
3.2699999999999996,239
1.27,203
1.17,246
2.6699999999999995,432
2.869999999999999,268
0.67,450
8.37,196
1.27,37
4.369999999999999,635
3.1699999999999995,61
1.0699999999999998,46
1.3699999999999999,28
3.669999999999999,55
1.17,25
0.77,320
1.0699999999999998,99
1.27,31
0.67,437
0.87,32
1.3699999999999999,112
3.1699999999999995,13
1.8699999999999997,570
1.3699999999999999,382
1.8699999999999997,64
0.87,376
3.9699999999999993,372
0.77,269
1.0699999999999998,631
3.1699999999999995,20
1.4699999999999998,30
0.87,108
1.3699999999999999,74
1.17,81
2.1699999999999995,115
0.67,151
0.77,122
1.17,19
0.87,168
2.869999999999999,26
2.3699999999999997,308
2.4699999999999998,627
0.67,34
0.77,145
1.17,576
5.5699999999999985,51
0.97,424
2.7699999999999996,16
0.77,193
1.27,215
1.3699999999999999,139
0.67,36
1.3699999999999999,24
4.169999999999999,487
0.97,222
2.9699999999999993,56
0.67,488
0.87,16
2.7699999999999996,495
