planet_radius,Period(Days),host_star_id,planet_name,contrast,planet_type,angular_separation,orbital_radius
2.07,114,S413946414,Planet_47,3.2518168720069155e-08,neptunes,0.015444730329401466,0.3575094984803614
3.869999999999999,149,S43133318,Planet_48,3.96692150472042e-08,neptunes,0.012878735078218174,0.44486931874843094
0.77,126,S328677227,Planet_49,9.646597035484222e-10,mercuries,0.0029902787633142042,0.360962713745584
2.6699999999999995,182,S9475873,Planet_50,8.863030923973098e-09,neptunes,0.002808941028334133,0.5325945763730199
2.77,29,S138126906,Planet_51,3.9004530178853413e-07,neptunes,0.0021150751273944076,0.13721996315392496
1.5699999999999998,47,S146501718,Planet_52,3.455072189830378e-08,neptunes,0.003735038575032104,0.2366081044792182
1.67,29,S274827048,Planet_53,3.922093616924874e-08,neptunes,0.0021511807976965693,0.16479821254215604
1.37,86,S62569281,Planet_54,5.108261764566978e-10,mercuries,0.017316187749198,0.37386710506607707
0.67,58,S319482278,Planet_55,1.377086303651999e-09,mercuries,0.002534963529726066,0.28521012715211347
0.77,63,S12723924,Planet_56,2.9703311467448197e-09,mercuries,0.0057535314980249165,0.26702673137582006
0.67,80,S279509403,Planet_57,4.886746708339246e-09,venuses,0.009694678557220187,0.472572668442387
2.07,93,S43472394,Planet_58,2.8420997046560037e-08,neptunes,0.008096060747913808,0.41043599968476946
1.5699999999999998,288,S196360688,Planet_59,3.519545476521664e-09,neptunes,0.015668423106971373,0.6833282731575236
4.469999999999999,28,S88846220,Planet_60,8.554279279931651e-07,neptunes,0.0034256599942671406,0.15790577148298685
0.97,142,S238069953,Planet_61,9.051526036044528e-09,venuses,0.014919497711095069,0.5588399870553696
0.67,501,S278867391,Planet_62,3.7770410567131537e-10,earths,0.021539203913115156,1.196299707990004
0.87,14,S439899389,Planet_63,4.3940485208212286e-08,mercuries,0.0004949442431969036,0.09344639359318153
5.269999999999999,489,S79390703,Planet_64,2.4004064492382762e-08,neptunes,0.027143224184818238,1.0957718536026924
2.97,126,S149667686,Planet_65,3.8752204445681566e-08,neptunes,0.01041455590616565,0.45432921755459416
2.07,52,S367758676,Planet_66,4.2727188396972363e-08,neptunes,0.025370898217630045,0.3221795168286295
3.47,562,S187309694,Planet_67,5.9781252977967565e-09,neptunes,0.03294109426660481,1.2503150368103582
2.97,33,S165373457,Planet_68,2.842793583634175e-07,neptunes,0.0014866203548288656,0.1758887976217064
1.67,292,S282283170,Planet_69,4.032574511635923e-09,neptunes,0.019439658158704923,0.8664014229449506
2.97,105,S165977985,Planet_70,3.310706875424149e-08,neptunes,0.0031786742247284006,0.3414113494401468
4.069999999999999,337,S207386596,Planet_71,1.7890923792669476e-08,neptunes,0.02720409889674413,0.9900472756992853
0.77,72,S54906496,Planet_72,4.658008147963342e-09,mercuries,0.007500236436238099,0.24681850877849185
1.37,82,S310104035,Planet_73,3.3326356270365927e-08,venuses,0.0037682950773629134,0.4119115156273244
3.0699999999999994,23,S152025971,Planet_74,2.912980782082337e-07,neptunes,0.003363449948840983,0.15488366195325887
0.67,17,S143857038,Planet_75,3.2562098706972317e-09,mercuries,0.0019386110606641523,0.11433609618511426
0.97,11,S38378634,Planet_76,2.2609397931490114e-08,mercuries,0.00027300248432668986,0.07963285518193568
0.77,127,S422505074,Planet_77,3.1970086386548567e-09,venuses,0.003249186250547931,0.6310237229441844
1.17,44,S349155285,Planet_78,1.1945656067717333e-09,mercuries,0.010759638074741614,0.21553569121804464
6.069999999999999,48,S162494287,Planet_79,2.991329340694935e-07,hot_jupiters,0.010876817100015588,0.21425225126797026
1.67,12,S392983748,Planet_80,3.949803543842012e-07,neptunes,0.002353355883580983,0.0808435079050535
2.37,125,S250470910,Planet_81,8.892397052336115e-09,neptunes,0.0006439156189482599,0.48996653812000845
0.97,168,S409527090,Planet_82,1.0333473623418131e-08,venuses,0.0023534912583724338,0.4947057838792589
1.5699999999999998,78,S114922178,Planet_83,9.934381596563848e-09,neptunes,0.0012480031663231169,0.38690358292681837
1.0699999999999998,129,S72643856,Planet_84,1.2618691725414123e-08,venuses,0.0007504732140212382,0.43644796367931266
1.97,58,S14392226,Planet_85,5.986786890112794e-08,neptunes,0.007356994600626598,0.23171997428564065
1.5699999999999998,155,S400734591,Planet_86,1.2739280754027615e-08,neptunes,0.0041877185283612115,0.48917017093759174
0.67,200,S185282173,Planet_87,3.998054267842298e-09,venuses,0.005135478112241644,0.5294829236126352
0.97,69,S89396609,Planet_88,4.745666615748729e-09,mercuries,0.0015971250067950654,0.29508328393637845
0.77,401,S165368344,Planet_89,7.422755108184898e-10,earths,0.010844848271617,0.9011723934428696
1.5699999999999998,22,S17198787,Planet_90,1.0984609819399269e-07,neptunes,5.2769364456610246e-05,0.1474752709838612
11.469999999999995,21,S127427727,Planet_91,4.388909001034168e-06,hot_jupiters,0.0018073675413244157,0.12270402447205365
0.97,59,S268171869,Planet_92,8.102074318395987e-09,mercuries,0.006156674912347477,0.2137662016612931
1.17,506,S142591776,Planet_93,1.2629929485528129e-09,earths,0.07702661839003981,1.1241360039022483
2.07,41,S248566767,Planet_94,1.1889745840609866e-07,neptunes,0.0017822190853371213,0.19069449222680931
0.77,16,S352621507,Planet_95,2.081120408629811e-08,mercuries,0.0017678905768588836,0.10643102961216148
3.1699999999999995,61,S301425042,Planet_96,1.408640690927521e-07,neptunes,0.0018970795252632113,0.23587787646714858
0.87,117,S200767510,Planet_97,9.38850751122799e-09,venuses,0.0024207053644539375,0.45106235782196313
0.67,126,S33946010,Planet_98,6.630037061364836e-09,venuses,0.0040500456741399855,0.4238785142896066
1.87,179,S229145550,Planet_99,1.0886498880205291e-08,neptunes,0.008531851396512585,0.45135144505522606
0.67,34,S32360983,Planet_100,8.710305738875915e-10,mercuries,0.004785392958221991,0.20909219091640233
1.5699999999999998,400,S67168206,Planet_101,1.0651346139432321e-09,neptunes,0.011697598566470449,1.0103546858969659
2.07,350,S240617731,Planet_102,5.802079633652387e-09,neptunes,0.030908924428585182,0.785513944850014
0.87,50,S93088834,Planet_103,7.322479172903584e-09,mercuries,0.00022373055684732536,0.22769905843207064
1.27,77,S106082589,Planet_104,1.1016463060122534e-09,mercuries,0.004832096630756337,0.3145049936597717
1.17,63,S124234446,Planet_105,5.999689476152623e-09,mercuries,0.007071406816209731,0.23643274842022602
5.069999999999999,258,S198381449,Planet_106,3.184111744809028e-08,neptunes,0.020631933733645462,0.7078445511371587
3.669999999999999,42,S19113628,Planet_107,3.70983355637028e-07,neptunes,0.001972058246018078,0.17634995879707946
2.1699999999999995,106,S103919894,Planet_108,2.620546551882238e-08,neptunes,0.010023397491161214,0.4461331552397349
3.0699999999999994,16,S121156812,Planet_109,1.1174639439122643e-06,neptunes,0.00021434769450309814,0.10369960272991
0.97,83,S245863716,Planet_110,3.009896494184504e-09,mercuries,0.003355919680691521,0.3189457804073018
4.069999999999999,601,S365768607,Planet_111,8.241322118542897e-09,neptunes,0.02450266929151043,1.1643347050451278
4.169999999999999,522,S289715844,Planet_112,9.532435258854111e-09,neptunes,0.010982821601324813,1.4300319428190915
1.17,51,S347299560,Planet_113,1.055260921401295e-08,mercuries,0.002506590292947458,0.24760747046753045
2.47,236,S383218397,Planet_114,2.3936410228151777e-08,neptunes,0.012644376402665383,0.5024016129533265
4.069999999999999,574,S270479665,Planet_115,6.183641256688814e-09,neptunes,0.025730717033200217,1.1959409717144889
2.77,278,S416024319,Planet_116,9.555634081918456e-09,neptunes,0.009158934435471186,0.8018520580335252
2.07,229,S50283721,Planet_117,1.4737093862020012e-08,neptunes,0.007515050363577329,0.5899124069082786
0.67,626,S100606047,Planet_118,2.5913624788725823e-10,earths,0.0018261441906549131,1.4157953319264662
0.87,15,S126275754,Planet_119,1.6053690972289122e-08,mercuries,0.0006489371711413241,0.12648983811690123
1.97,30,S4972033,Planet_120,9.004763384139044e-08,neptunes,0.0022999089441653494,0.1320811419368458
0.77,41,S435246332,Planet_121,5.942292728887865e-09,mercuries,0.0012606285108299044,0.180756225315642
2.1699999999999995,193,S93156619,Planet_122,2.4407690281045287e-08,neptunes,0.010147003256381343,0.5067289949136146
0.67,14,S119985828,Planet_123,1.2785137936872212e-08,mercuries,0.0013691756401626684,0.10868044163475335
2.1699999999999995,16,S441753021,Planet_124,3.369297749794734e-07,neptunes,0.0027100170622732984,0.1215586640008561
0.97,15,S393970919,Planet_125,1.0423796508080753e-08,mercuries,0.002392107413613566,0.10988744787744692
2.37,540,S453409619,Planet_126,3.2068441238461175e-09,neptunes,0.004702917256142186,1.3947382512952717
0.97,57,S141765836,Planet_127,9.069714911919212e-10,mercuries,0.005516013606811312,0.2710463572838303
2.5699999999999994,337,S44440236,Planet_128,6.462423912642611e-09,neptunes,0.016897118880428583,0.9748913172655401
2.07,594,S422487889,Planet_129,3.0590410381566937e-09,neptunes,0.011340867243449968,1.2773738996273134
3.27,58,S341105883,Planet_130,1.1214940098119397e-07,neptunes,0.0019389803901414073,0.26127347446788807
1.7699999999999996,303,S60879864,Planet_131,1.9990886999969092e-09,neptunes,0.004987661588789573,1.1201681508025665
0.77,22,S45407161,Planet_132,4.613613154377337e-09,mercuries,0.0020455666937972223,0.14610633375145035
0.97,366,S49038679,Planet_133,8.831418964192977e-10,earths,0.006569238063201744,1.1240789520585013
1.27,145,S421255607,Planet_134,1.4763087699708038e-08,venuses,0.0027922241057436,0.49075734093367446
2.07,31,S266997586,Planet_135,1.3300390751482562e-07,neptunes,0.0035536243956929984,0.1891841707994572
2.869999999999999,216,S118520296,Planet_136,2.2630127948392995e-08,neptunes,0.007908820439101877,0.6770600369984131
1.5699999999999998,154,S51163909,Planet_137,5.1858270500548e-09,neptunes,0.007619127516417685,0.4655546268288258
1.5699999999999998,38,S153341493,Planet_138,5.519065452064701e-08,neptunes,0.0006699731136646501,0.19546686310412467
1.0699999999999998,17,S364893926,Planet_139,2.9265305504077138e-08,mercuries,0.0009567776767370121,0.11807869020105921
2.07,363,S45775433,Planet_140,5.987864923606964e-09,neptunes,0.01171141273983962,0.8655707611364637
0.87,61,S263632641,Planet_141,3.402767675448976e-09,mercuries,0.0029296302838913452,0.266680079722593
5.869999999999999,318,S155463741,Planet_142,2.002270357811869e-08,neptunes,0.027262744169919806,0.9087216188820296
6.869999999999998,53,S256517649,Planet_143,3.459372938450971e-07,hot_jupiters,0.003418913624079107,0.1953462746778965
4.669999999999999,302,S334918736,Planet_144,2.9261618306791325e-08,neptunes,0.02409452785500672,0.8313470100297478
1.17,581,S2053972005,Planet_145,1.059161818888164e-09,earths,0.026876013278620058,1.1864367585737046
5.269999999999999,63,S324497887,Planet_146,2.478557251932716e-07,neptunes,0.007266283792722985,0.3267719032668438
8.069999999999999,548,S113798937,Planet_147,6.587446727219934e-08,gas_giants,0.019871741961247528,1.2558824120235845
7.769999999999999,176,S121089579,Planet_148,3.939436930359046e-07,gas_giants,0.010267521796714758,0.5137505818348491
3.27,107,S446430853,Planet_149,7.855722606203401e-08,neptunes,0.0038402958672563085,0.38807787658172493
1.7699999999999996,65,S280793604,Planet_150,1.8666666143335194e-08,neptunes,0.007491369785820885,0.3169389636182453
5.669999999999999,52,S366282510,Planet_151,4.61358321405615e-07,neptunes,0.0027110500444811345,0.2361788824854934
2.37,23,S307770692,Planet_152,3.5871749228579435e-07,neptunes,0.0003640401557602054,0.13369734813790798
1.7699999999999996,366,S237185582,Planet_153,5.116980143322903e-09,neptunes,0.0007232520683614771,0.8920104976000931
0.77,29,S355173317,Planet_154,9.283100654945108e-09,mercuries,0.007483344874859537,0.16022639685639256
1.97,147,S119147875,Planet_155,2.2434687968231128e-08,neptunes,0.03533063838484244,0.43437295517795116
12.669999999999996,261,S240716832,Planet_156,4.665710334556166e-07,gas_giants,0.016319190668469905,0.7522515682951005
0.77,330,S178645961,Planet_157,7.683133608148168e-10,earths,0.021828226407412648,0.9380355384917953
1.67,11,S439403362,Planet_158,1.5337339262795637e-07,neptunes,0.01947185401483199,0.0923477764459127
2.5699999999999994,113,S319614743,Planet_159,2.8902383618212657e-08,neptunes,0.013439029442206688,0.5595046594554316
2.37,30,S301481148,Planet_160,7.82585655024828e-08,neptunes,0.0010030640627268345,0.18509350084692955
1.17,297,S101722543,Planet_161,4.7008174248271154e-09,venuses,0.001521747664695247,0.8087389805206587
1.0699999999999998,70,S21434293,Planet_162,7.660553829650074e-09,mercuries,0.0005115651356618024,0.25280606231263114
2.97,202,S309790097,Planet_163,1.538293177654207e-08,neptunes,0.006633152396863743,0.5775844310055165
4.669999999999999,12,S685301469,Planet_164,1.9852534907482146e-06,neptunes,0.001829497754185977,0.09601221674520115
1.5699999999999998,135,S392928034,Planet_165,1.2025539997695007e-08,neptunes,0.02173863337823606,0.40838514699139733
2.07,616,S347004237,Planet_166,3.4065978689937956e-09,neptunes,0.021885865335788134,1.1376107725043665
2.37,101,S99054776,Planet_167,3.8040029938682165e-08,neptunes,0.0052513159139091535,0.433598095027155
2.869999999999999,264,S357796122,Planet_168,6.036873729323949e-09,neptunes,0.0019499163833509865,0.7067250312774942
1.17,46,S393970919,Planet_169,5.695792443171979e-09,mercuries,0.005049228893953113,0.23194898094789512
0.77,22,S105995278,Planet_170,7.674191228650101e-09,mercuries,0.002513694593565374,0.13814224792781626
0.67,100,S47346402,Planet_171,6.402008442763047e-09,venuses,0.029578992236390517,0.4346682932540077
1.17,312,S245833065,Planet_172,6.437148881353128e-09,venuses,0.00608203469325047,0.7930216933707719
0.77,184,S310090684,Planet_173,5.316507055409957e-09,venuses,0.0054206706512345765,0.538948392808241
1.67,26,S3885864,Planet_174,1.0054638074588887e-07,neptunes,0.0013272705602782036,0.17718680179626986
0.87,524,S32203661,Planet_175,5.606673321923219e-10,earths,0.005399661807598549,1.2735258983835127
1.97,414,S120117606,Planet_176,4.4177374706403286e-09,neptunes,0.0075054991548671795,1.0572240789197551
0.67,202,S401701660,Planet_177,2.7859485669973848e-09,venuses,0.004932406101934587,0.6783350220842582
1.67,114,S347332240,Planet_178,6.024440846163227e-09,neptunes,0.011110226113107823,0.4268859015831708
1.67,333,S66606102,Planet_179,1.9420765025564696e-09,neptunes,0.016482901100514685,0.806016726122623
2.07,112,S380914106,Planet_180,3.72454482968022e-08,neptunes,0.008979282719564203,0.3629081918496552
2.47,242,S89042909,Planet_181,2.422911754339481e-08,neptunes,0.0005097066550583161,0.5473526100389834
2.869999999999999,233,S257293333,Planet_182,2.3699561431457414e-08,neptunes,0.005586865309792641,0.5737305991452559
0.97,487,S5718172,Planet_183,8.989851148769456e-10,earths,0.004723052476004274,1.0439515597876494
1.37,264,S119569832,Planet_184,7.280006148219471e-09,venuses,0.004526456803846742,0.7698591199048841
7.669999999999998,148,S391897978,Planet_185,9.709947811294408e-08,hot_jupiters,0.010154358695696654,0.4599028186903166
3.1699999999999995,76,S176843254,Planet_186,1.3866392240619837e-07,neptunes,0.0025457373578197683,0.2852316976611948
1.27,495,S120330054,Planet_187,1.4510002300333975e-09,earths,0.004022949350052731,1.049827708659268
0.87,45,S254003502,Planet_188,2.7659389613054233e-09,mercuries,0.007489382783223527,0.28917630868787597
0.97,152,S147218591,Planet_189,1.1663850796581097e-08,venuses,0.01055628583884609,0.4700128529119291
1.7699999999999996,14,S4646810,Planet_190,3.2593732854957955e-07,neptunes,0.0003245233158608855,0.10553173255005789
2.1699999999999995,110,S95320727,Planet_191,2.5210841046135706e-08,neptunes,0.011390736247513732,0.43845946747054587
1.0699999999999998,15,S95689188,Planet_192,1.3185388628588998e-08,mercuries,0.002365530720373266,0.10204116412440785
6.869999999999998,589,S273209059,Planet_193,5.298328739151434e-08,gas_giants,0.00027844207136895404,1.203287798167814
2.5699999999999994,57,S214550870,Planet_194,8.941506989207788e-08,neptunes,0.005337409033029101,0.24502038119122638
1.7699999999999996,42,S74828267,Planet_195,6.168605855600681e-08,neptunes,0.004828362902834163,0.20483540639435976
1.97,86,S376878158,Planet_196,3.372390573994563e-08,neptunes,0.0027741028532742773,0.3083567655898134
0.97,128,S15551280,Planet_197,1.4071913777540628e-08,venuses,0.010544853934766821,0.4261094949310351
1.17,231,S173793940,Planet_198,9.154763264394426e-09,venuses,0.010215166799559146,0.6111916255769785
2.6699999999999995,95,S405504412,Planet_199,6.860871491199056e-08,neptunes,9.439608050494438e-06,0.3540437029690244
0.67,29,S39516274,Planet_200,6.881249308982731e-09,mercuries,0.0009264518094929515,0.1670873689948401
0.67,159,S439946126,Planet_201,5.2412946095980075e-09,venuses,0.028320557133926925,0.45981526174695464
2.37,141,S23228849,Planet_202,2.8387032498360366e-08,neptunes,0.002160137515676102,0.5033271893742886
1.4699999999999998,252,S8484602,Planet_203,1.2267033062021361e-08,venuses,0.002226443654012557,0.6805328281878203
0.77,31,S325095105,Planet_204,3.993831567720974e-09,mercuries,0.003967890869448905,0.17118884168381487
1.5699999999999998,33,S471012685,Planet_205,3.1845342715867653e-08,neptunes,0.0030161966496334547,0.1838436109137822
1.4699999999999998,236,S88416301,Planet_206,1.0891156687594557e-08,venuses,0.004479996267028157,0.6622977246974794
0.87,45,S416538839,Planet_207,9.236905578000142e-09,mercuries,0.001926331516376225,0.19376256888068927
1.37,166,S34068865,Planet_208,1.943344682522979e-08,venuses,0.0427351563610029,0.45462006219148815
1.27,231,S37149743,Planet_209,9.539412616646217e-09,venuses,0.013827121383284858,0.6852073143531578
1.97,166,S402375302,Planet_210,1.5085671281448565e-08,neptunes,0.008185826352246316,0.3994007891855782
1.27,15,Snan,Planet_211,8.290903531779162e-08,mercuries,0.0017960122792900573,0.10037025249611814
3.27,402,S41652774,Planet_212,6.805116916014015e-09,neptunes,0.0014680287814481203,1.1171953391392944
0.87,17,S442916792,Planet_213,1.1852219022441282e-08,mercuries,0.0028685744671635917,0.12778903946271397
0.67,406,S631689798,Planet_214,5.45358812347606e-10,earths,0.007463249223015005,0.9182429325724929
1.87,83,S357180860,Planet_215,1.4196709905803395e-08,neptunes,0.0005540007759875871,0.3673473021208798
1.7699999999999996,622,S95447657,Planet_216,2.338462652708178e-09,neptunes,0.013363166466436248,1.2601173815233266
1.27,90,S114795878,Planet_217,1.0825005647090087e-09,mercuries,0.001655214785971764,0.32596861099869806
5.969999999999999,86,S53558817,Planet_218,4.0271014228592605e-07,neptunes,0.006783278120753762,0.32687386585489714
4.369999999999999,151,S157201953,Planet_219,9.864481391789491e-08,neptunes,0.004272905205903011,0.5183105723732779
0.67,390,S247439806,Planet_220,1.631622749639061e-09,venuses,0.007894415545548842,0.8704162141512385
0.77,39,S121089579,Planet_221,1.7733051795580215e-09,mercuries,0.0037598188966540855,0.1881280784198328
0.67,37,S87418452,Planet_222,1.5977296246986208e-09,mercuries,0.005442592895922726,0.18971833611811215
0.77,23,S394595806,Planet_223,2.759142263042766e-09,mercuries,0.00312064884958642,0.12274697915384135
2.27,137,S312833264,Planet_224,1.1291057154536e-08,neptunes,0.009495999050873033,0.5130643486290299
0.67,415,S256726977,Planet_225,1.365083902310342e-09,venuses,0.008537079681671405,0.8826104331890211
1.0699999999999998,424,S2052602391,Planet_226,8.425666688735457e-10,earths,0.0008063519809110178,1.1016015524569773
0.77,116,S234299476,Planet_227,7.348762687562904e-09,venuses,0.0006079085175773041,0.41799385647416337
2.07,17,S233643252,Planet_228,1.823062071725487e-07,neptunes,0.0023663786397856066,0.11596968969499025
3.669999999999999,52,S290459654,Planet_229,3.728098839496179e-07,neptunes,0.003120221559341278,0.2071232934769507
2.5699999999999994,24,S276354725,Planet_230,1.699048481786796e-07,neptunes,0.000601263206969669,0.15392404936137924
2.97,30,S246975019,Planet_231,1.2802848056471208e-07,neptunes,0.004936324591840423,0.1566507580537247
0.87,63,S136324903,Planet_232,6.791013451501972e-09,mercuries,0.01071376757634675,0.22164515052794137
1.27,626,S191946194,Planet_233,1.1755036326333654e-09,earths,2.4028874715693664e-05,1.2531667743146453
2.77,135,S367435381,Planet_234,6.455140455380853e-08,neptunes,0.004540875160840985,0.4009345152888252
1.17,62,S245860592,Planet_235,3.925050183734696e-09,mercuries,0.0012786846102238337,0.28926014776925923
3.27,590,S121091806,Planet_236,5.145457519814232e-09,neptunes,0.017706433716707513,1.339319167643528
2.6699999999999995,10,S379483903,Planet_237,4.2271355208335654e-07,neptunes,0.0002535619770526862,0.11462026023395913
0.77,46,S101719893,Planet_238,1.097582518705519e-09,mercuries,0.005836577093633352,0.179477061788326
1.27,100,Snan,Planet_239,4.754813522640801e-09,mercuries,0.0063618261298159055,0.35553102968674094
4.369999999999999,157,S66356318,Planet_240,9.953601775401747e-08,neptunes,0.0010751842922212206,0.46909110533216003
0.77,18,S284898141,Planet_241,1.0000830887406587e-08,mercuries,0.0009827480247434925,0.14024745169764102
1.0699999999999998,432,S1652548,Planet_242,1.1602890960653595e-09,earths,0.0067454827595198955,1.061971701893209
1.7699999999999996,514,S126387245,Planet_243,1.488778432350836e-09,neptunes,0.028167105673604878,0.9519810545500419
2.07,37,S122506840,Planet_244,6.799165204513931e-08,neptunes,0.0018681141678401519,0.1813214697233371
1.37,548,S310842836,Planet_245,1.0357002082492403e-09,earths,0.012564197524949784,1.352858317532263
1.17,13,S453011250,Planet_246,6.435258050466319e-08,mercuries,0.00039412240337044377,0.09000282965254035
2.1699999999999995,638,S218979108,Planet_247,2.2995432853912314e-09,neptunes,0.026039184552603675,1.181197321116915
2.869999999999999,101,S318163669,Planet_248,4.5961957497397924e-08,neptunes,0.00626860271689359,0.473682017676419
0.77,17,S8697145,Planet_249,1.6330465595550887e-08,mercuries,0.0002792931893793401,0.1290289213252331
1.5699999999999998,52,S175456679,Planet_250,2.6377514154684135e-08,neptunes,0.001705438090246102,0.2933048933111033
0.67,255,S79055318,Planet_251,1.8657340281919704e-09,venuses,0.007310769177050002,0.7181784451755756
1.7699999999999996,15,S29727593,Planet_252,1.4612669754377983e-07,neptunes,0.002819976807306199,0.0957942135953436
1.37,326,S396915485,Planet_253,1.0641097863188857e-08,venuses,0.03323701771987944,0.7351232027884222
3.869999999999999,220,S311556725,Planet_254,2.7414266933732343e-08,neptunes,0.01753069834512089,0.7180306910964235
0.77,109,S19560875,Planet_255,8.721700774801677e-10,mercuries,0.0027735709336973056,0.37123167391972106
0.77,372,S13022701,Planet_256,6.503071577635643e-10,earths,0.020817861291736933,0.9150741159851017
1.97,232,S231010756,Planet_257,1.119055194487449e-08,neptunes,0.0017634044915808894,0.6887919216231567
2.37,82,S258638260,Planet_258,3.4493527237880795e-08,neptunes,0.006404237120580269,0.3012091982145472
0.67,437,S449242492,Planet_259,3.270016904187877e-10,earths,0.006231443014827258,1.1166608157499414
3.0699999999999994,87,S283788194,Planet_260,1.3974110481588062e-07,neptunes,0.002968753353660969,0.2694217552036952
2.37,223,S318760343,Planet_261,9.787881139386885e-09,neptunes,0.004665366857290369,0.6924228982812868
0.67,575,S364146744,Planet_262,3.587467167843438e-10,earths,0.024600455999293294,1.1502620801581367
